,solution_size,solution_pred_err,solution_real_err
0,4.25,0.5390484014367625,0.3602409362792969
1,4.6015625,0.3115161988459959,0.2638068199157715
2,5.0703125,0.26045065436376247,0.22072649002075195
3,5.421875,0.22466796962048444,0.18700647354125977
4,5.890625,0.1796151688197496,0.14834213256835938
5,6.359375,0.13722805568444696,0.11121177673339844
6,6.7109375,0.1071288431758188,0.08701467514038086
7,7.1796875,0.06912787916274939,0.060390472412109375
8,7.6484375,0.034763277199971875,0.0313725471496582
9,8.0,0.010925007230206125,0.008766651153564453
